School,卡片類型,卡片編號,卡片名稱,稀有度,時機點,發球,攔網,接球,托球,攻擊,完整技能,注釋
烏野,EVENT,HV-P02-079,谷地 仁花,R,-,-,-,-,-,-,"[=アタック]
自分の烏野のキャラ1人のアタックポイントに+1する。次の相手のターン中、相手がロストした時、自分の手札から烏野のキャラカード1枚までをコートのエリア1つのガッツにする。",
烏野,EVENT,HV-P02-080,武田 一鉄,N,-,-,-,-,-,-,"[=ドロー]
カード1枚を引く。相手のイベントエリアから監督か元監督かコーチのカード1枚を相手のデッキの下に置けば使える。自分のデッキの上から3枚を見て、その中の烏野のキャラカード1枚までを公開し、そのカードを手札に加える。加えなかったカードを好きな順番でデッキの下に置く。",
烏野,EVENT,HV-P02-081,田中 冴子,N,-,-,-,-,-,-,"[=レシーブ]
カード1枚を引く。自分の烏野のレシーブキャラ1人のレシーブポイントを元々のレシーブポイントにしてもよい。自分の烏野のキャラ1人のレシーブポイントに+1する。",
烏野,EVENT,HV-P02-082,超インナークロス!!!,S,-,-,-,-,-,-,"[=アタック]
カード1枚を引き、自分のキャラの「田中 龍之介」1人のアタックポイントに+1する。自分のアタックキャラが「田中 龍之介」の場合、次の相手のターン中、相手のサイドブロッカーが登場した時、一度だけそのキャラをドロップする。",
烏野,EVENT,HV-P02-083,助けてもらう!!!,N,-,-,-,-,-,-,"[=レシーブ]
カード1枚を引き、自分のレシーブエリアのLiのガッツ1枚までをレシーブエリアに登場させる。",
戸美,EVENT,HV-P02-099,山架 美華,R,-,-,-,-,-,-,"[=ドロー]
自分の手札が4枚以下の場合、自分のドロップエリアから「大将 優」1枚を手札に加える。加えた場合、自分のコートから戸美のガッツ1枚までを手札に加える。",
音駒,EVENT,HV-P02-100,灰羽 アリサ,N,-,-,-,-,-,-,"[=ブロック][=レシーブ][=アタック]
[=ターン1]カード1枚を引き、自分のキャラの「灰羽 リエーフ」1人のパラメータ1つに+1する。",
烏野,EVENT,HV-PR-029,鬼と 鬼だな,P,-,-,-,-,-,-,"[=ドロー]
自分のドロップエリアから「日向 翔陽」1枚までと「影山 飛雄」1枚までを手札に加える。",
音駒,EVENT,HV-PR-030,護りの音駒でリベロやるって チョー名誉だろ,P,-,-,-,-,-,-,"[=レシーブ]
[=ターン1]自分の音駒のレシーブキャラ1人のレシーブポイントに+2する。そのキャラが「芝山 優生」の場合、カード1枚を引く。",
梟谷,EVENT,HV-PR-031,全員があなたを見ていますよ,P,-,-,-,-,-,-,"[=アタック]
カード1枚を引き、自分の梟谷のキャラ1人のアタックポイントに+1する。自分のトスキャラが「赤葦 京治」でアタックキャラが「木兎 光太郎」の場合、次の相手のターン中、相手のセンターブロッカーが登場するたび、そのキャラのブロックポイントに－2する。",
烏野,EVENT,HV-PR-050,ただーし！,P,-,-,-,-,-,-,"[=サーブ][=ドロー]
 [=ターン1]このカードを両手で掲げて『ただーし！』と叫び、このカードを自分のイベントエリアに置いてもよい。カード1枚を引く。サーブフェイズ中で、自分のサーブキャラが「山口 忠」の場合、さらにカード1枚を引き、そのキャラのサーブポイントを6にする。",
青葉城西,EVENT,HV-PR-051,いつも通りでいい 俺に勝負させろ,P,-,-,-,-,-,-,"[=アタック]
 カード1枚を引き、次の相手のターン中、自分のオフェンスポイントは－されない。自分のアタックキャラが「岩泉 一」の場合、自分のアタックエリアから2ガッツ払えば使える。そのキャラのアタックポイントに+2する。",
白鳥沢,EVENT,HV-PR-052,若利君を倒したければ俺を倒してから行け～ ってな～,P,-,-,-,-,-,-,"[=ブロック]
 自分のキャラすべてが白鳥沢の場合、カード1枚を引き、自分のキャラの「天童 覚」1人のブロックポイントに+1し、自分のブロックエリアにキャラの「天童 覚」がおり、相手の手札が2枚以下の場合、このターン中、ブロックに成功した時、[=ドシャット(8)]する。",
烏野,EVENT,HVBP-013,ドンピシャ!!,P,-,-,-,-,-,-,"[=アタック]
キャラ1人のアタックポイントに+1する。その後、トスキャラが「影山 飛雄」でアタックキャラが「日向 翔陽」の場合、次の相手のターン中、相手はブロックキャラを2人までしか登場させられない。",
烏野,EVENT,HVBP-014,期待してる,P,-,-,-,-,-,-,"[=レシーブ]
キャラ1人のレシーブポイントに+1する。その後、手札が3枚以下の場合、カード1枚を引く。",
,EVENT,HV-P01-092,今年は面白くなりそうだな,R,-,-,-,-,-,-,"[=レシーブ]
[=ターン1]カード1枚を引き、自分のキャラ1人のレシーブポイントに+1する。自分のデッキの上から1枚を公開し、自分のコートにそのカードの所属と同じ所属のキャラがいない場合、さらにレシーブポイントに+1する。公開したカードをデッキの下に置く。",
